file,run_name,final_train_perplexity,final_val_perplexity,final_train_loss,final_val_loss,parameter_count,training_time_sec,seed,hp.local_rank,hp.deepspeed_config,hp.use_deepspeed,hp.local_batch_size,hp.use_gpu_amount,hp.learning_rate,hp.validate_every_steps,hp.save_checkpoint_every_steps,hp.generate_every,hp.seq_len,hp.total_tokens,hp.epochs,hp.grad_clip_norm,hp.beta1,hp.beta2,hp.weight_decay,hp.tokenizer_path,hp.ngrc_d_model,hp.ngrc_lag,hp.ngrc_poly_degree,hp.ngrc_max_cross_terms,hp.ngrc_readout_rank,hp.ngrc_num_layers,hp.ngrc_gating,hp.ngrc_embed_frozen,hp.ngrc_training,hp.ngrc_loss,hp.ngrc_ridge_alpha,hp.ngrc_ridge_max_batches,hp.dataset_path,hp.val_dataset_path,hp.wandb_project,hp.wandb_run_name,hp.api_file,hp.report_path,hp.hf_repo,hp.hf_private,hp.enable_compile
../reports_multilayer_NGRC/multilayer_NGRC(56.11M_d256_lag16_poly3_layer6_rank512_lr0.0005_bs200_seq256_20251216-231404_report.txt,multilayer_NGRC(56.11M_d256_lag16_poly3_layer6_rank512_lr0.0005_bs200_seq256_20251216-231404,317.1571862671759,295.1548104863723,5.759397506713867,5.6875,56107008,943.9600393772125,1202033,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,256,16,3,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(59.81M_d128_lag64_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-222100_report.txt,multilayer_NGRC(59.81M_d128_lag64_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-222100,836.5012541549145,777.629352507471,6.7292280197143555,6.65625,59807232,1227.4181356430054,4040592,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,64,2,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(61.09M_d128_lag32_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-003922_report.txt,multilayer_NGRC(61.09M_d128_lag32_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-003922,1746.6068811371654,1242.6481670549958,7.46543025970459,7.125,61090560,1145.466783285141,3691269,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,32,2,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(8.25M_d64_lag16_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-210606_report.txt,multilayer_NGRC(8.25M_d64_lag16_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-210606,803.4513881292036,854.0587625261516,6.6889166831970215,6.75,8253696,244.10912799835205,3686924,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,64,16,1,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(84.97M_d128_lag96_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-224322_report.txt,multilayer_NGRC(84.97M_d128_lag96_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-224322,1172.8808937940264,1364.7820165072585,7.06721830368042,7.21875,84973056,1732.105732679367,4566361,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,96,2,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(86.26M_d128_lag48_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-010019_report.txt,multilayer_NGRC(86.26M_d128_lag48_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-010019,1745.5711266200235,1242.6481670549958,7.464837074279785,7.125,86256384,1545.6744327545166,4127568,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,48,2,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(87.54M_d128_lag32_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-002522_report.txt,multilayer_NGRC(87.54M_d128_lag32_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-002522,1746.5777317332481,1242.6481670549958,7.465413570404053,7.125,87539712,1655.0982694625854,1313999,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,32,2,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(90.99M_d512_lag16_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-210606_report.txt,multilayer_NGRC(90.99M_d512_lag16_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-210606,1424.8227134370266,1096.6331584284585,7.261802673339844,7.0,90989568,1453.8716025352478,3568114,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,16,1,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(93.86M_d256_lag32_poly3_layer6_rank512_lr0.0005_bs200_seq256_20251216-233143_report.txt,multilayer_NGRC(93.86M_d256_lag32_poly3_layer6_rank512_lr0.0005_bs200_seq256_20251216-233143,899.2155137091339,1282.0940541998355,6.801522731781006,7.15625,93855744,1947.081465959549,1237650,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,256,32,3,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(95.83M_d256_lag16_poly3_layer12_rank512_lr0.0005_bs200_seq256_20251217-030204_report.txt,multilayer_NGRC(95.83M_d256_lag16_poly3_layer12_rank512_lr0.0005_bs200_seq256_20251217-030204,1736.611444304494,1242.6481670549958,7.459691047668457,7.125,95829504,1669.8153603076935,2317123,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,256,16,3,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
