id,seed,final_train_perplexity,final_val_perplexity,model_path,msf_ppl
20250814-125920,3016544,907.7247731024157,1030.1915141420939,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-125920'}/checkpoint_step6000_tokens98304000.pt,3049.56
20250727-185359,3221079,727.5047950878405,624.8427387029609,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-185359'}/checkpoint_step6000_tokens98304000.pt,1861.48
20250814-105348,3264394,408.1714385806307,378.98627852215554,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-105348'}/checkpoint_step6000_tokens98304000.pt,1771.76
20250812-161417,3419954,104.69411815648743,143.8469662358426,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250812-161417'}/checkpoint_step6000_tokens98304000.pt,725.68
20250812-221028,3536541,109.46107847915579,168.17414165184545,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250812-221028'}/checkpoint_step6000_tokens98304000.pt,695.16
20250727-130235,3552516,4154.289865786993,13359.726829661873,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-130235'}/checkpoint_step6000_tokens98304000.pt,12680.4
20250814-065005,3594819,8315.940141737792,5231.744197360583,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-065005'}/checkpoint_step6000_tokens98304000.pt,21381.44
20250729-191841,3620679,118.27818394147637,162.99996726850102,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250729-191841'}/checkpoint_step6000_tokens98304000.pt,2668.8
20250814-022010,3747174,2220.790253347163,2800.3508727251633,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-022010'}/checkpoint_step6000_tokens98304000.pt,17702.4
20250729-211525,3882035,115.68540943174604,168.17414165184545,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250729-211525'}/checkpoint_step6000_tokens98304000.pt,801.3
20250812-201349,4101502,109.85502363340333,153.12429849019884,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250812-201349'}/checkpoint_step6000_tokens98304000.pt,596.42
20250814-145554,4127349,1492.920876023486,1096.6331584284585,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-145554'}/checkpoint_step6000_tokens98304000.pt,20873.76
20250727-150021,4159348,124.1927806559348,157.98498549518746,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-150021'}/checkpoint_step6000_tokens98304000.pt,2192.8
20250724-180859,4186150,251.07030363588035,286.07385163895896,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250724-180859'}/checkpoint_step6000_tokens98304000.pt,5489.84
20250726-211249,4632219,107.0172805739331,143.8469662358426,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250726-211249'}/checkpoint_step6000_tokens98304000.pt,672.68
20250729-231148,4693068,683.6299114655816,551.4217815078388,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250729-231148'}/checkpoint_step6000_tokens98304000.pt,1306.64
20250725-175804,6376404,2433.772541666509,3827.6258214399063,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250725-175804'}/checkpoint_step6000_tokens98304000.pt,22256.96
20250725-202600,7654433,840.1036492454629,827.7821368360857,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250725-202600'}/checkpoint_step6000_tokens98304000.pt,3059.08
