id,seed,final_train_perplexity,final_val_perplexity,model_path,msf_ppl
20250825-184812,4381210,685.1454406541365,518.012824668342,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-184812'}/checkpoint_step6000_tokens98304000.pt,811.28
20250825-102757,4515567,707.7131798931961,686.2554949467076,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-102757'}/checkpoint_step6000_tokens98304000.pt,671.06
20250825-131358,4535075,1605.0809494108184,2250.1451404845307,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-131358'}/checkpoint_step6000_tokens98304000.pt,2083.12
20250826-013724,4608291,730.1557766529514,730.5151717727034,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250826-013724'}/checkpoint_step6000_tokens98304000.pt,591.7
20250825-140115,4630748,7512.689710549184,5569.162708566004,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-140115'}/checkpoint_step6000_tokens98304000.pt,10088.96
20250825-122642,4654530,2197.584618965991,2113.8157381974315,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-122642'}/checkpoint_step6000_tokens98304000.pt,6407.2
20250825-220425,4762215,1657.5366689277378,1242.6481670549958,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-220425'}/checkpoint_step6000_tokens98304000.pt,3740.56
20250825-193528,4894473,740.0788149117651,586.9854309417088,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-193528'}/checkpoint_step6000_tokens98304000.pt,900.96
20250825-120302,4905438,746.1344666770701,665.1416330443618,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-120302'}/checkpoint_step6000_tokens98304000.pt,541.38
20250825-090022,4920579,1903.4277690667636,1698.4986622608421,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-090022'}/checkpoint_step6000_tokens98304000.pt,2556.72
20250825-113922,4950529,779.0248207719661,605.6183486721279,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-113922'}/checkpoint_step6000_tokens98304000.pt,890.56
20250825-213731,4968011,4544.429891162469,2800.3508727251633,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-213731'}/checkpoint_step6000_tokens98304000.pt,6439.52
20250825-171200,4988133,5050.481406901083,2395.2670338067314,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-171200'}/checkpoint_step6000_tokens98304000.pt,4812.32
