id,seed,final_train_perplexity,final_val_perplexity,model_path,rho_act,fro_norm,w_mean,w_std,w_sign_ratio,w_skew,w_kurt,self_loops,deg_skew,deg_var,moment2_trace,moment3_trace,in_sum_var,out_sum_var,sign_balance_var
20250723-000809,509971,106.45894506571994,143.8469662358426,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250723-000809'}/checkpoint_step6000_tokens98304000.pt,0.9703658373125104,252.44782943309949,3.481340091719469e-05,0.17434628680246678,0.5000417340174215,-0.00016437440629795907,0.0030307147894794717,37.0,0.7998725065776175,2.0280113220214844,0.0003022725930704852,-0.000652989000375272,0.9635129098101585,0.9729880843507935,0.03227189604361906
20250720-030605,509971,106.46925057139634,143.8469662358426,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250720-030605'}/checkpoint_step6000_tokens98304000.pt,0.9836134148068701,252.4477397426739,3.480947816409234e-05,0.1743462248609734,0.5000417340174215,-0.0001644344834170836,0.003029836277989695,37.0,0.6504641424784205,2.054518699645996,0.0008822522884808448,7.464166569886175e-05,0.9635125911540063,0.9729873721788713,0.03227189604361906
20250722-221144,509971,106.44625492691856,139.42126035437516,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250722-221144'}/checkpoint_step6000_tokens98304000.pt,0.05773607141020145,252.4477397426739,3.480947816409234e-05,0.1743462248609734,0.5000417340174215,-0.0001644344834170836,0.003029836277989695,37.0,0.704792976165019,2.0271902084350586,-0.0001593510798927533,0.00020025018444801826,0.9635125911540063,0.9729873721788713,0.03227189604361906
20250719-132130,572243,27151.032157538317,32048.31862582525,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-132130'}/checkpoint_step6000_tokens98304000.pt,0.9928573809229996,1298.7231740675709,0.0003159647936110457,0.8969184803999398,0.500048648896147,-0.0009545131375205401,0.005949620351096918,30.0,0.7466488137571509,1.9462890625,0.004734494619552729,-0.05904360209660215,25.888866214654286,25.70596286585982,0.03246668812956404
20250719-191217,615727,1329.2731670184055,802.313957927379,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-191217'}/checkpoint_step6000_tokens98304000.pt,0.36972108641357443,264.8899578228332,-0.00022588137825490414,0.18293792445263807,0.49924235739649486,0.0026525217488837733,-0.0033415772061533566,31.0,0.6704286711484835,2.0626068115234375,0.00036494871614939736,0.0008602135175187963,1.0683125936038267,1.0676406785544974,0.032443415745389725
20250719-230452,826918,110.38947323198268,148.4131591025766,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-230452'}/checkpoint_step6000_tokens98304000.pt,0.7017219797686,253.02555788675357,-5.862384207555837e-05,0.17474414786459866,0.4998883927506799,0.0011234745042904871,0.003495638528523859,26.0,0.8415089886330972,1.9960594177246094,0.0003459496401656527,-0.0004711995452109432,0.9770965795730867,0.9749535375520746,0.032531443852874764
20250719-210847,842469,8450.297286361585,9774.184947038397,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-210847'}/checkpoint_step6000_tokens98304000.pt,0.9833731317276655,312.37203833554327,-0.00017409703236420318,0.21572940794186812,0.4997145442222749,-0.0017581665631363499,-0.004239136190875126,24.0,0.6614157596153678,1.9530096054077148,-0.0006130300907152307,0.0014619770123115406,1.4823937473519795,1.4764916887127777,0.03226528276683363
20250719-112449,868671,2113.199972964094,3595.7216962228085,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-112449'}/checkpoint_step6000_tokens98304000.pt,0.909149527677444,322.70289331224166,-8.821297775931938e-05,0.22286497643685754,0.4998161335971852,-0.0006765248011482322,-0.003442005230882117,24.0,0.645998352237862,1.8840293884277344,0.000401242632370391,0.0004467290609178336,1.5991385397719804,1.5896228367218104,0.03235108441381526
20250721-191550,904477,3029.7325567736007,4337.268278483271,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-191550'}/checkpoint_step6000_tokens98304000.pt,0.6788842476104877,559.2967687247477,0.0003508313738843142,0.3862616078710434,0.5002115302340379,0.00366061844877284,0.0032455148541892243,37.0,0.6475542932522268,1.9539146423339844,0.004157822334164014,0.008172643346638924,4.709473970542968,4.803697888021087,0.032367803939995436
20250718-172641,935598,9285.572377750374,8625.687941050362,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-172641'}/checkpoint_step6000_tokens98304000.pt,0.7031041627168935,269.8013728881981,-5.801120910077503e-07,0.18632998094983774,0.4999401421802078,-0.0016574821259653563,-0.00427196597539492,31.0,0.7270408188750316,2.0172338485717773,0.00012561986577014738,0.00011445796134933075,1.1006355306623838,1.1028074537366594,0.032683541402983386
