id,seed,final_train_perplexity,final_val_perplexity,model_path,msf_ppl,fro_norm,w_mean,w_std,w_sign_ratio,w_skew,w_kurt,in_sum_var,out_sum_var,in_sum_cv,out_sum_cv,in_sum_gini,out_sum_gini,mean_abs_in_var,mean_abs_out_var,mean_abs_in_cv,mean_abs_out_cv,k_in_var,k_out_var,k_in_cv,k_out_cv,sign_balance_var
20250722-221144,509971,106.44625492691856,139.42126035437516,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250722-221144'}/checkpoint_step6000_tokens98304000.pt,653.28,252.4477397426739,3.480947816409234e-05,0.1743462248609734,0.5000417340174215,-0.0001644344834170836,0.003029836277989695,0.9635125911540063,0.9729873721788713,0.22063388057485675,0.22171603750042718,0.12430739856942741,0.12482094689239265,0.0003591150857006323,0.00035649815065072314,0.1362415739612055,0.13578659692540895,31.921822113683447,31.783516449620947,0.17660618420244756,0.17622318366728598,0.03227189604361906
20250719-191217,615727,1329.2731670184055,802.313957927379,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-191217'}/checkpoint_step6000_tokens98304000.pt,1581.88,264.8899578228332,-0.00022588137825490414,0.18293792445263807,0.49924235739649486,0.0026525217488837733,-0.0033415772061533566,1.0683125936038267,1.0676406785544974,0.22132843686885406,0.22125882367734945,0.12463716091133814,0.1247022095035002,0.00039474934771551796,0.0003930304263259932,0.13611054212656715,0.13580869929389985,31.75129579915665,32.0319964827504,0.17613182139596503,0.1769086642174174,0.032443415745389725
20250719-230452,826918,110.38947323198268,148.4131591025766,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-230452'}/checkpoint_step6000_tokens98304000.pt,548.22,253.02555788675357,-5.862384207555837e-05,0.17474414786459866,0.4998883927506799,0.0011234745042904871,0.003495638528523859,0.9770965795730867,0.9749535375520746,0.22164872010888023,0.22140551832622177,0.1248631242071736,0.12468500580544972,0.0003619551893995238,0.0003604343040085115,0.1364733825110522,0.1361976140239962,31.939177989028394,31.659514903090894,0.17665191310595005,0.1758768205243379,0.032531443852874764
20250719-210847,842469,8450.297286361585,9774.184947038397,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-210847'}/checkpoint_step6000_tokens98304000.pt,18693.76,312.37203833554327,-0.00017409703236420318,0.21572940794186812,0.4997145442222749,-0.0017581665631363499,-0.004239136190875126,1.4823937473519795,1.4764916887127777,0.2210691560589907,0.22062863058292834,0.12463739545349317,0.12416515098941505,0.0005462862022572937,0.0005416327147009739,0.1357588494452583,0.13518125806834125,32.048906076466665,31.816179025685415,0.1769543400394366,0.17631068161921395,0.03226528276683363
20250719-112449,868671,2113.199972964094,3595.7216962228085,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-112449'}/checkpoint_step6000_tokens98304000.pt,20416.8,322.70289331224166,-8.821297775931938e-05,0.22286497643685754,0.4998161335971852,-0.0006765248011482322,-0.003442005230882117,1.5991385397719804,1.5896228367218104,0.2222701322995811,0.22160783433718917,0.12525801168638995,0.12475927483999882,0.0005833303597153065,0.000576160098115013,0.13583797174685266,0.13497478855303813,31.94965909025632,32.06870816252194,0.17668148549267015,0.17701034987236186,0.03235108441381526
20250721-191550,904477,3029.7325567736007,4337.268278483271,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-191550'}/checkpoint_step6000_tokens98304000.pt,12875.04,559.2967687247477,0.0003508313738843142,0.3862616078710434,0.5002115302340379,0.00366061844877284,0.0032455148541892243,4.709473970542968,4.803697888021087,0.22012215701555615,0.22231327807378898,0.12399788501576203,0.12506386072739906,0.0017388573385709036,0.0017443855401887683,0.13530848701799306,0.13555121389794694,31.62809439538978,31.94474478601478,0.17579044660655166,0.1766682339804857,0.032367803939995436
20250718-172641,935598,9285.572377750374,8625.687941050362,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-172641'}/checkpoint_step6000_tokens98304000.pt,14263.04,269.8013728881981,-5.801120910077503e-07,0.18632998094983774,0.4999401421802078,-0.0016574821259653563,-0.00427196597539492,1.1006355306623838,1.1028074537366594,0.22053643028354605,0.2207539192161224,0.12421187073363515,0.12436436643189663,0.0004083066878272975,0.00040707556356466674,0.13587863304603381,0.13566445260931315,31.7895648421254,31.94660829915665,0.17623793307246266,0.17667271279987887,0.032683541402983386
20250721-152314,986512,513.9693627541903,429.4477152409339,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-152314'}/checkpoint_step6000_tokens98304000.pt,998.18,281.657619356205,0.0001351585626524691,0.19451729564853076,0.500197457661071,0.0005485558200592867,-0.0003295250263897209,1.1957649167873856,1.2160818519334202,0.22028699452524692,0.22215053206873034,0.124180449362294,0.12514776993742704,0.00044389366116310744,0.00044520164575767395,0.1357558056499235,0.1359970336164172,31.937563862651587,32.01544472202659,0.17664626974588457,0.1768615176372169,0.032184084966182455
20250814-185408,1009161,1033.5949866335025,1322.7920882144774,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-185408'}/checkpoint_step6000_tokens98304000.pt,3371.4,337.95596915358465,0.00017222723791560294,0.23339789268571162,0.5002606537759503,8.000202064247647e-05,-0.001271878476120314,1.7553112923045413,1.7290618166250864,0.22239092034398839,0.22072180492812601,0.125189185270569,0.124289686587434,0.0006407482618901086,0.0006343639153475476,0.1359354059585999,0.13524602751985124,32.3340937809553,31.818438263377175,0.17773957272702637,0.1763166049597529,0.032464587608571266
20250813-020341,1288886,1042.620416596202,1167.3599206126853,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250813-020341'}/checkpoint_step6000_tokens98304000.pt,5548.72,348.00054789449064,0.000453438846464289,0.2403330470865832,0.5008108072014942,-0.0010350571331538682,0.0022423609550141776,1.8402583419826313,1.8351647995157492,0.22113481814578917,0.2208285730828087,0.12446915715196316,0.12436034196311363,0.0006751894645471348,0.0006736937137452995,0.135504856123468,0.13535427612669562,31.91117161139846,31.99295872077346,0.17657124587429376,0.17679737374448884,0.03224401713035299
